filename,category,path,extracted_text,cleaned_text,dates,amounts,pan,account_numbers,name
1.jpg,Bank Statement,../data/raw/Bank Statement/1.jpg,"I‘AXIS BANK

STATEMENT BETWEEN 01/04/2019 AND 30/04/2019 FOR A/C: 918020087655304

(s89)

sceue cove ca LanaE ReTALERS M
WS, INOVACION A GONDITONIG o Lance e
W H0 212853 UDkY AR custousnio astarsan

NLOTH EXTH. WeST ELI DELI compncvcone e

Pooux ARy prayes om0

oeLie octin MOUMATIHDETALS  NOMNATIONREGISTERED
pro

o T o o o7 Goance R |_Branch Name

RN I

a7avsa
T TR

Tz | TI0ezn

BozanT| TLAKNAGHR

TTmzs | a0z

o aT| TILACRAGAR

YIRS | T
73075 | 70

TR T NAGAR.
T T R

Fuzom | 70z

o925 TIRNAGR

Zzoazos | Zz0ezoe

TiB4ST | TIARRAGAR

sz | zsusze

[ RS EANGATPE |

ST | 23020 [N TR 0T et

79373 3T | WINEAT AT

ET RN EHTE]

[NEFTVER MBS T90TBR HGumest

T | BRAWANPATI

75032015 | 70007015 |MORSELFTSURIEEY SNGHATA0100

TN TIKRAGAR

C} R TS VIRESPUNIDELAT00

e

B GeZTs | TI0EToW

TRANSACTION TOTAL DRICR:
CLOSING BALANCE :

TOED TR AGHE,

1156801","I‘AXIS BANK STATEMENT BETWEEN 01/04/2019 AND 30/04/2019 FOR A/C: 918020087655304 (s89) sceue cove ca LanaE ReTALERS M WS, INOVACION A GONDITONIG o Lance e W H0 212853 UDkY AR custousnio astarsan NLOTH EXTH. WeST ELI DELI compncvcone e Pooux ARy prayes om0 oeLie octin MOUMATIHDETALS NOMNATIONREGISTERED pro o T o o o7 Goance R |_Branch Name RN I a7avsa T TR Tz | TI0ezn BozanT| TLAKNAGHR TTmzs | a0z o aT| TILACRAGAR YIRS | T 73075 | 70 TR T NAGAR. T T R Fuzom | 70z o925 TIRNAGR Zzoazos | Zz0ezoe TiB4ST | TIARRAGAR sz | zsusze [ RS EANGATPE | ST | 23020 [N TR 0T et 79373 3T | WINEAT AT ET RN EHTE] [NEFTVER MBS T90TBR HGumest T | BRAWANPATI 75032015 | 70007015 |MORSELFTSURIEEY SNGHATA0100 TN TIKRAGAR C} R TS VIRESPUNIDELAT00 e B GeZTs | TI0EToW TRANSACTION TOTAL DRICR: CLOSING BALANCE : TOED TR AGHE, 1156801","['01/04/2019', '30/04/2019']",[],[],['918020087655304'],RN I a
10.jpg,Bank Statement,../data/raw/Bank Statement/10.jpg,"231 Valley Farms Street
Santa Monica, CA 90403 STATEMENT OF ACCOUNT

example@email com

Account Number:  111-234-567-530

Statement Date: MM/DDAYYYY Page 1 of 1
peiod Coversts IR 10
John Smith Opening Balance: 175,800.00
2450 Courage s STE 108 Towl Gt Aot 51000060
el T 78521 Tow Duit Ao 5400050
Cloing Blree. 59185000
<o Name> ot ype Gt Account
Transactions.

Due Duerpion e Cr—
HHIDOMYY | Payment- Crdh Cord S4000 17040000
MMDONYY  Pagment e So000 16740000
MADOIY  Acoont Tt 50000000 66740000
MUDOMYY  Chanee opos 1000000 6770000
MDD Payment. iy wsom 67550000
MDY Fayment Wt iy w00 67330000
MMDONYY  PaymentCar Lo 55000 5710000
MMDOMY  Acsont Tanstr O w0000 59180000

End of Transactions -~","231 Valley Farms Street Santa Monica, CA 90403 STATEMENT OF ACCOUNT example@email com Account Number: 111-234-567-530 Statement Date: MM/DDAYYYY Page 1 of 1 peiod Coversts IR 10 John Smith Opening Balance: 175,800.00 2450 Courage s STE 108 Towl Gt Aot 51000060 el T 78521 Tow Duit Ao 5400050 Cloing Blree. 59185000 <o Name> ot ype Gt Account Transactions. Due Duerpion e Cr— HHIDOMYY | Payment- Crdh Cord S4000 17040000 MMDONYY Pagment e So000 16740000 MADOIY Acoont Tt 50000000 66740000 MUDOMYY Chanee opos 1000000 6770000 MDD Payment. iy wsom 67550000 MDY Fayment Wt iy w00 67330000 MMDONYY PaymentCar Lo 55000 5710000 MMDOMY Acsont Tanstr O w0000 59180000 End of Transactions -~",[],[],[],[],
11.jpg,Bank Statement,../data/raw/Bank Statement/11.jpg,"Jan 7,2022 Page 2 of 5

Overdraft Protection
This account is not currently covered by Overdraft Protection. If you would like more information regarding Overdraft Protection and elgibilty requirements
please call the number listed on your statement or visit your Bank Plus branch.

BankMls

e £ oame T s 3 promisd:

Transaction history

Dates
01/12
01/12
01/12
02/12
02/12

03/12
04/12
04/12
05/12

05/12
06/12
06/12
07112
08/12
08/12
09/12
1012
1112
1112
13/12
1412
15/12

1512
16/12
16/12
1712
1712
08/12

1912
1912

20112
2012

2112
2112

2112

2212

2212

Reference Number

054368486BKLGJ1J3
0543684832X63KP74
051404884LYROY8N1
054368486BLKGJ1J3

554838286BLHO12SM
054368487EHTSK3WM
5543286875SP18VSL
55432868855RSSXJ4

0543684888PKLVLXS
5526352892l ROENSR
55417348A4ESRBXMW
55432868B5SMGSQ09
05436848A8PKT1TR9
05486808QB019G7P5
82305098B00023ZYG
02305378B0OFVNT77
55419378QKQE2RREW
55419378QKQE2RRF4
55310208B5SZYHKDE
05436848D009FHZ74
05436848D8PKSRBHK

05436848D8PKSBRHK
55263528DLAJONJAX
55263528DRBGHED1E
55263528DRBGEHD1E
02305378BOOFNVT77
85586688H36HHRVS5

55421358HVAMES074
85486148LWGPDJJX0

85486148LWGPJDJX0
55263528DLAJIINAX

55432868K55Z4AFKW
52707158K09FMOEP4

82711168K0002WETQ

82711168K0002W2MB

55453708L173NATBD

Description Credits.

ACCELERATED SERVICES LLCDD  2,307.69
WENDYS #21300 RIDGELAND MS
RAMEY'S #8 BRANDON MS

WM SUPERCENTER #2720
MADISON MS

WAL-MART #2720 MADISON MS
WENDYS #22800 MADISON MS
SHELL 0357306 JACKSON MS
PUBLIC STORAGE 08052
800-567-0759 GA

SHELL #5388 BRANDON MS
POPEYES 12013 COTTONDALE AL
C SPIRE MADISON MADISON MS
CHEVRON 0205563 MADISON MS 2.66
GOLDEN CORRAL 0682 FLOWOOD MS
SHELL 99182289 FLOWOOD MS

NAV TECH 855-226-8388 DRAPER UT
AUTOZONE #2304 CANTON MS
VERIZON WRLS P1688-01FLOWOOQD MS
VERIZON WRLS P1688-01 FLOWOOD MS
WAFFLE HOUSE 1573 BRANDON MS
DOLLARTREE JACKSON MS

B&B THEATRE RIDGELAND

RIDGELAND MS

ACCELERATED SERVICES LLC DD  2,307.69
RAISING CANE'S #30 RIDGELAND MS

FAMILY DOLLAR #3506 CANTON MS

POS RECURRING DEBIT ATMOS UTILITIES
EXPERIAN CREDIT REPORT

CITI ONLINE PAYMENT WEST
DES MOIN

MCW867-I-55 JACKSON MS
MADISON FINE WINE AND
CANTON MS

POS RECURRING DEBIT AT&T
POS RECURRING TMX* TERMINIX
INTL 18008376464

SHELL # 23421 BRANDON MS
THE HOME DEPOT #2902
JACKSON MS

SITEGROUND HOSTING
ALEXANDRIA VA

SITEGROUND HOSTING
ALEXANDRIA VA

ADVANCE AUTO PARTS #53 8.54
RIDGELAND MS

73.83

30.21

50.01

Charges Balance

61,739.97

64,047.66

7.87 64,039.79
126.13 63,913.66

63,987.49

53.37 63,934.12
428 63,929.84
55.00 63,874.84
250.20 63,624.64
40.00 63,584.64
2342 63,561.22
156.00 63,405.22
63,407.88

54.98 63,352.90
45.55 63,307.35
39.99 63,267.36
14.97 63,252.39
75.00 63,177.39
88.25 63,089.14
19.80 63,069.34
63,099.55

65.85 63,033.70
65,341.39
90.10 65,251.29
1712 65,234.17
210.32 65,023.85
24.99 64,998.86
1,000.00 63,998.86
70.00 63,928.86
68.46 63,860.40
403.35 63,457.05
69.55 63,387.50
63,437.51
29.16 63,408.35
29.99 63,378.36
17.99 63,360.37
63,368.91","Jan 7,2022 Page 2 of 5 Overdraft Protection This account is not currently covered by Overdraft Protection. If you would like more information regarding Overdraft Protection and elgibilty requirements please call the number listed on your statement or visit your Bank Plus branch. BankMls e £ oame T s 3 promisd: Transaction history Dates 01/12 01/12 01/12 02/12 02/12 03/12 04/12 04/12 05/12 05/12 06/12 06/12 07112 08/12 08/12 09/12 1012 1112 1112 13/12 1412 15/12 1512 16/12 16/12 1712 1712 08/12 1912 1912 20112 2012 2112 2112 2112 2212 2212 Reference Number 054368486BKLGJ1J3 0543684832X63KP74 051404884LYROY8N1 054368486BLKGJ1J3 554838286BLHO12SM 054368487EHTSK3WM 5543286875SP18VSL 55432868855RSSXJ4 0543684888PKLVLXS 5526352892l ROENSR 55417348A4ESRBXMW 55432868B5SMGSQ09 05436848A8PKT1TR9 05486808QB019G7P5 82305098B00023ZYG 02305378B0OFVNT77 55419378QKQE2RREW 55419378QKQE2RRF4 55310208B5SZYHKDE 05436848D009FHZ74 05436848D8PKSRBHK 05436848D8PKSBRHK 55263528DLAJONJAX 55263528DRBGHED1E 55263528DRBGEHD1E 02305378BOOFNVT77 85586688H36HHRVS5 55421358HVAMES074 85486148LWGPDJJX0 85486148LWGPJDJX0 55263528DLAJIINAX 55432868K55Z4AFKW 52707158K09FMOEP4 82711168K0002WETQ 82711168K0002W2MB 55453708L173NATBD Description Credits. ACCELERATED SERVICES LLCDD 2,307.69 WENDYS #21300 RIDGELAND MS RAMEY'S #8 BRANDON MS WM SUPERCENTER #2720 MADISON MS WAL-MART #2720 MADISON MS WENDYS #22800 MADISON MS SHELL 0357306 JACKSON MS PUBLIC STORAGE 08052 800-567-0759 GA SHELL #5388 BRANDON MS POPEYES 12013 COTTONDALE AL C SPIRE MADISON MADISON MS CHEVRON 0205563 MADISON MS 2.66 GOLDEN CORRAL 0682 FLOWOOD MS SHELL 99182289 FLOWOOD MS NAV TECH 855-226-8388 DRAPER UT AUTOZONE #2304 CANTON MS VERIZON WRLS P1688-01FLOWOOQD MS VERIZON WRLS P1688-01 FLOWOOD MS WAFFLE HOUSE 1573 BRANDON MS DOLLARTREE JACKSON MS B&B THEATRE RIDGELAND RIDGELAND MS ACCELERATED SERVICES LLC DD 2,307.69 RAISING CANE'S #30 RIDGELAND MS FAMILY DOLLAR #3506 CANTON MS POS RECURRING DEBIT ATMOS UTILITIES EXPERIAN CREDIT REPORT CITI ONLINE PAYMENT WEST DES MOIN MCW867-I-55 JACKSON MS MADISON FINE WINE AND CANTON MS POS RECURRING DEBIT AT&T POS RECURRING TMX* TERMINIX INTL 18008376464 SHELL # 23421 BRANDON MS THE HOME DEPOT #2902 JACKSON MS SITEGROUND HOSTING ALEXANDRIA VA SITEGROUND HOSTING ALEXANDRIA VA ADVANCE AUTO PARTS #53 8.54 RIDGELAND MS 73.83 30.21 50.01 Charges Balance 61,739.97 64,047.66 7.87 64,039.79 126.13 63,913.66 63,987.49 53.37 63,934.12 428 63,929.84 55.00 63,874.84 250.20 63,624.64 40.00 63,584.64 2342 63,561.22 156.00 63,405.22 63,407.88 54.98 63,352.90 45.55 63,307.35 39.99 63,267.36 14.97 63,252.39 75.00 63,177.39 88.25 63,089.14 19.80 63,069.34 63,099.55 65.85 63,033.70 65,341.39 90.10 65,251.29 1712 65,234.17 210.32 65,023.85 24.99 64,998.86 1,000.00 63,998.86 70.00 63,928.86 68.46 63,860.40 403.35 63,457.05 69.55 63,387.50 63,437.51 29.16 63,408.35 29.99 63,378.36 17.99 63,360.37 63,368.91","['Jan 7,2022']",[],[],['18008376464'],
12.jpg,Bank Statement,../data/raw/Bank Statement/12.jpg,"< _poi

o
ots

e

A

B CasHATASTRAL oz
rty—— e
e souasssst ez
Y —re 0
aTgie

[ anzo

i€l

2000",< _poi o ots e A B CasHATASTRAL oz rty—— e e souasssst ez Y —re 0 aTgie [ anzo i€l 2000,[],[],[],[],
13.jpg,Bank Statement,../data/raw/Bank Statement/13.jpg,"Account Title
Account Humber
From (wgustot, 015)

Srio. Date Desaription
Satrday, August 04,
SMSChargesQIIANLE-MARISHGS
EREney
Thurstay, August 09,
i saiam
Thursday, November
08, 2018 11515 A1

Int01-95-2018/31-07-2018

1nt31-10-2018/01-08-2018

Statement Critena

A
205¢

'

o Ganvary 15, 2019)

Transactions Hade

Currency

&

&

™

Debit

1

Save As PDF

Credit

10

10

[Detais 6l Tuesday, Ja
Balance Amount.

156560
158360

159760","Account Title Account Humber From (wgustot, 015) Srio. Date Desaription Satrday, August 04, SMSChargesQIIANLE-MARISHGS EREney Thurstay, August 09, i saiam Thursday, November 08, 2018 11515 A1 Int01-95-2018/31-07-2018 1nt31-10-2018/01-08-2018 Statement Critena A 205¢ ' o Ganvary 15, 2019) Transactions Hade Currency & & ™ Debit 1 Save As PDF Credit 10 10 [Detais 6l Tuesday, Ja Balance Amount. 156560 158360 159760","['November 08, 2018', '31-07-2018', '01-08-2018', 'Ganvary 15, 2019']",[],[],[],
14.jpg,Bank Statement,../data/raw/Bank Statement/14.jpg,"OBbhank.

P.O. Box 54795
Baint Paul, Minnesota 55184

03420 TRC 73 4918685

Tiehaelschlsnnnb b beebdselfrdbnb bbbl
J & R BP_ING

1026 164TH ST SE

MILL CREEK WA 98012-1236

Business
Statement
Account Number:
1 535 0195 5634
Statement Period:
Apr. 1, 1999
Through

Apr. 30, 1998

Puge 1 of 7

Far information on your account call (631) 2447770 (ancupohs/St Paul) or 1-800673-3555.

Premium Business Checking

Account Summary

Previous Balance

Customer Depesits

Other Doposits

Other Withdrawals and Fees
Checks Paid

New Balance on Apr. 30

Customer Deposits

Date
Apr.
Apr.
Apr.
Apr.
Apr.
Apr,
Apr.
Apr.
Apr.
Apr.
ﬁpn
T,
Al:'

—

1S 35006 09 ~1 ~1 03 G2 G2 01 BO 1D 30

Amount

Total Customer Deposits

Other Deposits

Date
Apr.

Apr.

Apr.

Apr.

Apr.

1

0

[

Description

YOUR ELECTRONIC DEPOSIY DEPOSIT 990401

PAYPOINT EPS 1918301493 FAC #5163%
PAR#19990913248398. N

Number of Items

44
54
41
7L

Armount

YOUR ELECTRONIC DEPOSIT TOSCO NW 2 990401

TOBCO NW 2 PAY 6741149540 30698864
PAR#19990903035184 N

YOUR ELECTRONS{C DEPOSIT DEPOSIT 990402

PAYPOINT EPS 1918301493 FAC #51638
PAR#19990923948376 N

YOUR ELECTRONIC DEPOSIT TOSCO NW 2 990402

TOSCO NW 2 PAY 6741149340 30698864
PAR#19890913841711 N

CREDIT LINE ADVANCE FROM 30400102990810998

Date
Apr.
Apr.
Apr.

pr.

pr.
Apr.
Apr.

Apr:
Apr,
Apr.

Apr. 3

Apr.

bt

-

Amount

10,296.41
79,938.43
105,431.43
148,592.64
38,023.35

9,050.28

Amount
885,57
720.38

1,118.12

1,207.05

1,397.66

2,113.21

2”,03 60

79,938.43

Armount

83.60

2,850.53

223.26

2,964.18
3,425.00","OBbhank. P.O. Box 54795 Baint Paul, Minnesota 55184 03420 TRC 73 4918685 Tiehaelschlsnnnb b beebdselfrdbnb bbbl J & R BP_ING 1026 164TH ST SE MILL CREEK WA 98012-1236 Business Statement Account Number: 1 535 0195 5634 Statement Period: Apr. 1, 1999 Through Apr. 30, 1998 Puge 1 of 7 Far information on your account call (631) 2447770 (ancupohs/St Paul) or 1-800673-3555. Premium Business Checking Account Summary Previous Balance Customer Depesits Other Doposits Other Withdrawals and Fees Checks Paid New Balance on Apr. 30 Customer Deposits Date Apr. Apr. Apr. Apr. Apr. Apr, Apr. Apr. Apr. Apr. ﬁpn T, Al:' — 1S 35006 09 ~1 ~1 03 G2 G2 01 BO 1D 30 Amount Total Customer Deposits Other Deposits Date Apr. Apr. Apr. Apr. Apr. 1 0 [ Description YOUR ELECTRONIC DEPOSIY DEPOSIT 990401 PAYPOINT EPS 1918301493 FAC #5163% PAR#19990913248398. N Number of Items 44 54 41 7L Armount YOUR ELECTRONIC DEPOSIT TOSCO NW 2 990401 TOBCO NW 2 PAY 6741149540 30698864 PAR#19990903035184 N YOUR ELECTRONS{C DEPOSIT DEPOSIT 990402 PAYPOINT EPS 1918301493 FAC #51638 PAR#19990923948376 N YOUR ELECTRONIC DEPOSIT TOSCO NW 2 990402 TOSCO NW 2 PAY 6741149340 30698864 PAR#19890913841711 N CREDIT LINE ADVANCE FROM 30400102990810998 Date Apr. Apr. Apr. pr. pr. Apr. Apr. Apr: Apr, Apr. Apr. 3 Apr. bt - Amount 10,296.41 79,938.43 105,431.43 148,592.64 38,023.35 9,050.28 Amount 885,57 720.38 1,118.12 1,207.05 1,397.66 2,113.21 2”,03 60 79,938.43 Armount 83.60 2,850.53 223.26 2,964.18 3,425.00",[],[],[],"['1918301493', '19990913248398', '6741149540', '19990903035184', '1918301493', '19990923948376', '6741149340', '19890913841711', '30400102990810998']",
15.jpg,Bank Statement,../data/raw/Bank Statement/15.jpg,"COMPANY NAME AND

LOGO

CUSTOMER NAME

ADDRESS 1
ADDRESS 2
ADDRESS 3
ADDRESS 4
ADDRESS 5

Ref: INB 0000-30001-

000000

Bank name
Address |
Address 2
Address 3
SWIFT :

E-mail :

Website :

Customer Id

Account No

Account Type

Currency
Issue Date

01111113

4304567890987
CURRENT ACCOUNT

BDT

January 12,

STATEMENT OF ACCOUNT FOR THE PERIOD OF 2%-Dec-2018 TO 12-Jan-2019

2019

DATE

PARTICULARS

WITHDRAW

DEPOSIT

BALANCE

01-Jan-201%

01-Jan-201%

01-Jan-2019

01-Jan-201%

02-Jan-201%

02-Jan-2019

02-Jan-2019

03-Jan-201%

07-Jan-201%

07-Jan-2019

30-Jan-2019

Balance Forward

PRCR/easy,
D/4301201810853001
PRCR/easy,
D/4301201810853001
PRCR/easy,
D/4301201810853001
PRCR/2asy,
D/4301201810853001
EFT/IC/BANK ASTA/FRD BEFTN
ACCOUN/EF.

PRCR/easy,
D/4301201810853301
PRCR/easy,
D/4301201810853001
CWDR/MOKKA-MODTNA TOWER
G/4301201810853001
EFT/IC/BANK ASTA/FRD BEFTN
ACCOUN/FR
CWDR/MOKKA-MODTNA TOWZR
G/4301201810853001
CWDR/MOKKA-MODINA TOWER
G/4301201810853001

0.00
100.00

100.00

100.00

100.00

100.00

100.00

cr 9,500.00

cr §,000.00

cr 500.00

16, 600.00

0.00
0.00

10,103.66

6,490.89

16,534.55

419.08
319.08

219.08

19.08

10,122.74

10,02

9,922.74

422.74

413.63

Page 1 0f 2","COMPANY NAME AND LOGO CUSTOMER NAME ADDRESS 1 ADDRESS 2 ADDRESS 3 ADDRESS 4 ADDRESS 5 Ref: INB 0000-30001- 000000 Bank name Address | Address 2 Address 3 SWIFT : E-mail : Website : Customer Id Account No Account Type Currency Issue Date 01111113 4304567890987 CURRENT ACCOUNT BDT January 12, STATEMENT OF ACCOUNT FOR THE PERIOD OF 2%-Dec-2018 TO 12-Jan-2019 2019 DATE PARTICULARS WITHDRAW DEPOSIT BALANCE 01-Jan-201% 01-Jan-201% 01-Jan-2019 01-Jan-201% 02-Jan-201% 02-Jan-2019 02-Jan-2019 03-Jan-201% 07-Jan-201% 07-Jan-2019 30-Jan-2019 Balance Forward PRCR/easy, D/4301201810853001 PRCR/easy, D/4301201810853001 PRCR/easy, D/4301201810853001 PRCR/2asy, D/4301201810853001 EFT/IC/BANK ASTA/FRD BEFTN ACCOUN/EF. PRCR/easy, D/4301201810853301 PRCR/easy, D/4301201810853001 CWDR/MOKKA-MODTNA TOWER G/4301201810853001 EFT/IC/BANK ASTA/FRD BEFTN ACCOUN/FR CWDR/MOKKA-MODTNA TOWZR G/4301201810853001 CWDR/MOKKA-MODINA TOWER G/4301201810853001 0.00 100.00 100.00 100.00 100.00 100.00 100.00 cr 9,500.00 cr §,000.00 cr 500.00 16, 600.00 0.00 0.00 10,103.66 6,490.89 16,534.55 419.08 319.08 219.08 19.08 10,122.74 10,02 9,922.74 422.74 413.63 Page 1 0f 2",[],[],[],"['4304567890987', '4301201810853001', '4301201810853001', '4301201810853001', '4301201810853001', '4301201810853301', '4301201810853001', '4301201810853001', '4301201810853001', '4301201810853001']",
16.jpg,Bank Statement,../data/raw/Bank Statement/16.jpg,"Address DB\Towsr, WTC Comples,
Cutte Paracte, Colaba,
Mumba 400005, India

Tel 1800209 4324

[ g—————

Account Statement

o o tois

Mr. fohn Citizen SoementPeriod  Lianuary 20217030 June2021
1 Palam Viner Marg, Accowtounber 065017025608

Chauma Gurgaon, Accownname  johnCraen

122017, tncie Emalacdess  Not Recorded

Yout opig account balircs % 2t 31 Dacembar 200 280228
Vout cloing meccot buiance 441 30 Jyou TR s ar

Faur sccount vakiaten,

mcussment cpion rame Optioacode  Uri  Unia Vaw®
Frss Coiee Modkroe o BIEOSIR 1330 15954 zs
BT Acve Suiancad o 727700 a2m:s eoMn 26
Papatual Selanoed rowih @ 72516083 3B Is4m 2s
FeChoion (Fmaped 90050 957 163061403 1326 0430 201
Account vakn o 1000
Banati ype” Insourance cover WOUTT R Deneit moure &
Amoure Paid on Daaschor Tarminl s 500600 11020626

Amoure Pais upon Toral and Permenare somac 1020828

Disabiement

Tpletss € @ O Q
X g templates Eshfotempl.com

www.gotempl.com

End of Statemont","Address DB\Towsr, WTC Comples, Cutte Paracte, Colaba, Mumba 400005, India Tel 1800209 4324 [ g————— Account Statement o o tois Mr. fohn Citizen SoementPeriod Lianuary 20217030 June2021 1 Palam Viner Marg, Accowtounber 065017025608 Chauma Gurgaon, Accownname johnCraen 122017, tncie Emalacdess Not Recorded Yout opig account balircs % 2t 31 Dacembar 200 280228 Vout cloing meccot buiance 441 30 Jyou TR s ar Faur sccount vakiaten, mcussment cpion rame Optioacode Uri Unia Vaw® Frss Coiee Modkroe o BIEOSIR 1330 15954 zs BT Acve Suiancad o 727700 a2m:s eoMn 26 Papatual Selanoed rowih @ 72516083 3B Is4m 2s FeChoion (Fmaped 90050 957 163061403 1326 0430 201 Account vakn o 1000 Banati ype” Insourance cover WOUTT R Deneit moure & Amoure Paid on Daaschor Tarminl s 500600 11020626 Amoure Pais upon Toral and Permenare somac 1020828 Disabiement Tpletss € @ O Q X g templates Eshfotempl.com www.gotempl.com End of Statemont",[],[],[],"['065017025608', '163061403']",
17.jpg,Bank Statement,../data/raw/Bank Statement/17.jpg,"[V} BANDHAN BANK LIMITED
Saans o A7 3 Wk, 2010
= o
Schis 1 W 016 svchots |
Py ) n
' wssi M0 sons0
asumks 2 D S0
) s -
. 0TS
et s s 1w ooy
o O Vot
10 Wi R sk - . a5z e
s i Bk ey 1 o s shes e ; [ et
rveners s 3,033608
s VLS -
s © preme Aom 20
s u amismiss wisesis
i) 158457202051 proveey)
o n oz
o caaon
A e ot s 17418
s et s b 1 e et of e oy St
o o toen e
8 Rt 8 i 18 [ETRPIam—
nis
i e Mt - DAOHESIOSH
X sa s sa:
Ry DOAK LN Chana Bkbar i €0
e Gumin | WesrgbmaAGQ  Oar
i s 533
s s
Tt acaior et sontan
e Semary b omr","[V} BANDHAN BANK LIMITED Saans o A7 3 Wk, 2010 = o Schis 1 W 016 svchots | Py ) n ' wssi M0 sons0 asumks 2 D S0 ) s - . 0TS et s s 1w ooy o O Vot 10 Wi R sk - . a5z e s i Bk ey 1 o s shes e ; [ et rveners s 3,033608 s VLS - s © preme Aom 20 s u amismiss wisesis i) 158457202051 proveey) o n oz o caaon A e ot s 17418 s et s b 1 e et of e oy St o o toen e 8 Rt 8 i 18 [ETRPIam— nis i e Mt - DAOHESIOSH X sa s sa: Ry DOAK LN Chana Bkbar i €0 e Gumin | WesrgbmaAGQ Oar i s 533 s s Tt acaior et sontan e Semary b omr",[],[],[],['158457202051'],
18.jpg,Bank Statement,../data/raw/Bank Statement/18.jpg,"g St s

JPMorgan S et M RO
.. o
15 v imeer T oromama
i STATE oL GO a2, oY T i
P Tar
CONTALT ORI LT SE I 820510
Gnupte. o anamimnn -
e T = R
N Desomn =y woune o e
[ — oz w5z
ooarraResies 2Dl oz @
OTIROONIZ  Crateres rs Erest s e
Towmecan e
e O e T kT Py
—— A0 Compy
Yo Amoa e caD) e ey arecave
Femmen s arncors

ACH Vb s, A5A 1210002 Aot 4B
1PEe ek o s e oot

PACRG CHASE A A

Tracse reeET

T STATE.POST AL CODE o 2P COUNTRY","g St s JPMorgan S et M RO .. o 15 v imeer T oromama i STATE oL GO a2, oY T i P Tar CONTALT ORI LT SE I 820510 Gnupte. o anamimnn - e T = R N Desomn =y woune o e [ — oz w5z ooarraResies 2Dl oz @ OTIROONIZ Crateres rs Erest s e Towmecan e e O e T kT Py —— A0 Compy Yo Amoa e caD) e ey arecave Femmen s arncors ACH Vb s, A5A 1210002 Aot 4B 1PEe ek o s e oot PACRG CHASE A A Tracse reeET T STATE.POST AL CODE o 2P COUNTRY",[],[],[],[],
